PRECIO,AÑO,MES,Entidad_nume
23.75,2024,9,7.0
23.64,2024,10,7.0
23.79,2024,11,7.0
24.03,2024,12,7.0
24.44,2025,1,7.0
24.22,2025,2,7.0
23.67,2025,3,7.0
23.61,2025,4,7.0
16.06,2017,1,8.0
16.02,2017,2,8.0
15.95,2017,3,8.0
15.99,2017,4,8.0
15.89,2017,5,8.0
15.79,2017,6,8.0
15.71,2017,7,8.0
15.78,2017,8,8.0
16.01,2017,9,8.0
16.13,2017,10,8.0
16.21,2017,11,8.0
16.34,2017,12,8.0
16.83,2018,1,8.0
17.36,2018,2,8.0
17.57,2018,3,8.0
17.66,2018,4,8.0
17.81,2018,5,8.0
18.03,2018,6,8.0
18.39,2018,7,8.0
18.92,2018,8,8.0
19.18,2018,9,8.0
19.35,2018,10,8.0
19.38,2018,11,8.0
19.16,2018,12,8.0
18.98,2019,1,8.0
19.53,2019,2,8.0
19.97,2019,3,8.0
19.77,2019,4,8.0
19.72,2019,5,8.0
19.51,2019,6,8.0
19.59,2019,7,8.0
19.54,2019,8,8.0
19.59,2019,9,8.0
19.56,2019,10,8.0
19.54,2019,11,8.0
19.64,2019,12,8.0
19.72,2020,1,8.0
19.67,2020,2,8.0
17.62,2020,3,8.0
15.02,2020,4,8.0
16.53,2020,5,8.0
17.92,2020,6,8.0
18.64,2020,7,8.0
18.74,2020,8,8.0
18.77,2020,9,8.0
18.47,2020,10,8.0
17.65,2020,11,8.0
17.77,2020,12,8.0
18.89,2021,1,8.0
19.72,2021,2,8.0
19.92,2021,3,8.0
20.01,2021,4,8.0
20.09,2021,5,8.0
20.14,2021,6,8.0
20.21,2021,7,8.0
20.29,2021,8,8.0
20.21,2021,9,8.0
20.13,2021,10,8.0
20.07,2021,11,8.0
20.35,2021,12,8.0
20.71,2022,1,8.0
20.91,2022,2,8.0
21.22,2022,3,8.0
21.38,2022,4,8.0
21.49,2022,5,8.0
21.54,2022,6,8.0
21.72,2022,7,8.0
21.91,2022,8,8.0
21.93,2022,9,8.0
22.07,2022,10,8.0
22.0,2022,11,8.0
21.81,2022,12,8.0
22.08,2023,1,8.0
22.17,2023,2,8.0
22.25,2023,3,8.0
22.24,2023,4,8.0
22.14,2023,5,8.0
22.26,2023,6,8.0
22.42,2023,7,8.0
22.54,2023,8,8.0
22.57,2023,9,8.0
22.54,2023,10,8.0
22.62,2023,11,8.0
22.47,2023,12,8.0
22.71,2024,1,8.0
23.41,2024,2,8.0
23.75,2024,3,8.0
24.04,2024,4,8.0
24.12,2024,5,8.0
24.15,2024,6,8.0
24.42,2024,7,8.0
24.61,2024,8,8.0
24.55,2024,9,8.0
24.5,2024,10,8.0
24.57,2024,11,8.0
24.52,2024,12,8.0
24.79,2025,1,8.0
24.65,2025,2,8.0
23.98,2025,3,8.0
23.9,2025,4,8.0
16.25,2017,1,9.0
16.21,2017,2,9.0
16.15,2017,3,9.0
16.17,2017,4,9.0
16.07,2017,5,9.0
15.98,2017,6,9.0
15.89,2017,7,9.0
15.97,2017,8,9.0
16.2,2017,9,9.0
16.34,2017,10,9.0
16.48,2017,11,9.0
16.66,2017,12,9.0
17.24,2018,1,9.0
17.85,2018,2,9.0
18.02,2018,3,9.0
18.11,2018,4,9.0
18.28,2018,5,9.0
18.49,2018,6,9.0
18.81,2018,7,9.0
19.29,2018,8,9.0
19.58,2018,9,9.0
19.78,2018,10,9.0
19.73,2018,11,9.0
19.44,2018,12,9.0
19.25,2019,1,9.0
19.6,2019,2,9.0
20.1,2019,3,9.0
19.87,2019,4,9.0
19.76,2019,5,9.0
19.68,2019,6,9.0
19.78,2019,7,9.0
19.75,2019,8,9.0
19.91,2019,9,9.0
19.86,2019,10,9.0
19.9,2019,11,9.0
20.04,2019,12,9.0
20.2,2020,1,9.0
20.06,2020,2,9.0
18.57,2020,3,9.0
15.93,2020,4,9.0
16.85,2020,5,9.0
18.22,2020,6,9.0
19.08,2020,7,9.0
19.08,2020,8,9.0
19.12,2020,9,9.0
18.83,2020,10,9.0
18.21,2020,11,9.0
18.38,2020,12,9.0
19.42,2021,1,9.0
20.25,2021,2,9.0
20.65,2021,3,9.0
20.77,2021,4,9.0
20.75,2021,5,9.0
20.8,2021,6,9.0
20.76,2021,7,9.0
20.74,2021,8,9.0
20.57,2021,9,9.0
20.47,2021,10,9.0
20.37,2021,11,9.0
20.56,2021,12,9.0
20.85,2022,1,9.0
21.06,2022,2,9.0
21.52,2022,3,9.0
21.9,2022,4,9.0
22.13,2022,5,9.0
22.29,2022,6,9.0
22.35,2022,7,9.0
22.39,2022,8,9.0
22.21,2022,9,9.0
22.34,2022,10,9.0
